1|董事長|尼克|1001|2020/1/1|2020-1-1 09:00:00.000|2020-1-1 18:00:00.000|
1|董事長|尼克|1001|2020/2/1|2020-2-1 09:00:00.000|2020-2-1 18:00:00.000|
1|董事長|尼克|1001|2020/3/1|2020-3-1 09:00:00.000|2020-3-1 18:00:00.000|
1|董事長|尼克|1001|2020/4/1|2020-4-1 09:00:00.000|2020-4-1 18:00:00.000|
1|董事長|尼克|1001|2020/5/1|2020-5-1 09:00:00.000|2020-5-1 18:00:00.000|
1|董事長|尼克|1001|2020/6/1|2020-6-1 09:00:00.000|2020-6-1 18:00:00.000|
1|董事長|尼克|1001|2020/7/1|2020-7-1 09:00:00.000|2020-7-1 18:00:00.000|
2|董事長|尼克|1001|2020/7/2|2020-7-2 09:00:00.000|2020-7-1 18:00:00.000|
4|董事長|尼克|1001|2020/7/4|2020-7-4 09:00:00.000|2020-7-1 18:00:00.000|
5|董事長|尼克|1001|2020/7/5|2020-7-5 09:00:00.000|2020-7-1 18:00:00.000|
3|董事長|尼克|1001|2020/7/3|2020-7-3 09:00:00.000|2020-7-1 18:00:00.000|
6|董事長|尼克|1001|2020/7/6|2020-7-6 09:00:00.000|2020-7-1 18:00:00.000|
7|董事長|尼克        |1001|2020/7/7|2020-7-7 09:00:00.000|2020-7-1 18:00:00.000|
8|管理部|蟻人        |1002|2020/7/7|2020-7-7 09:00:00.000|2020-7-7 18:00:00.000|
9|資訊部|鋼鐵人      |1003|2020/7/7|2020-7-7 09:00:00.000|2020-7-7 18:00:00.000|
10|工程部|美國隊長   |1004|2020/7/7|2020-7-7 09:00:00.000|2020-7-7 18:00:00.000|
11|工程部|綠巨人浩克 |1005|2020/7/7|2020-7-7 09:00:00.000|2020-7-7 18:00:00.000|
12|工程部|索爾       |1006|2020/7/7|2020-7-7 09:00:00.000|2020-7-7 18:00:00.000|
13|資訊部|洛基       |1007|2020/7/7|2020-7-7 09:00:00.000|2020-7-7 18:00:00.000|
14|財務部|黑寡婦     |1008|2020/7/7|2020-7-7 09:00:00.000|2020-7-7 18:00:00.000|
15|工程部|鷹眼       |1009|2020/7/7|2020-7-7 09:00:00.000|2020-7-7 18:00:00.000|
16|財務部|瑪莉亞·希爾|1010|2020/7/7|2020-7-7 09:00:00.000|2020-7-7 18:00:00.000|
17|財務部|小辣椒·波茲|1011|2020/7/7|2020-7-7 09:00:00.000|2020-7-7 18:00:00.000|
7|董事長|尼克        |1001|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|
8|管理部|蟻人        |1002|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|
9|資訊部|鋼鐵人      |1003|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|
10|工程部|美國隊長   |1004|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|
11|工程部|綠巨人浩克 |1005|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|
12|工程部|索爾       |1006|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|
13|資訊部|洛基       |1007|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|
14|財務部|黑寡婦     |1008|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|
15|工程部|鷹眼       |1009|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|
16|財務部|瑪莉亞·希爾|1010|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|
