1|董事長|尼克|1001|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 10:00:00.000|病假|就有事
2|董事長|尼克|1001|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|事假|就有事
3|管理部|蟻人|1002|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|事假|就有事
4|資訊部|鋼鐵人|1003|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|婚假|就有事
5|工程部|美國隊長|1004|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|事假|就有事
6|工程部|綠巨人浩克|1005|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|事假|就有事
7|工程部|索爾|1006|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|公假|就有事
8|資訊部|洛基|1007|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|公假|就有事
9|財務部|黑寡婦|1008|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|病假|就有事
10|工程部|鷹眼|1009|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|病假|就有事
11|財務部|瑪莉亞·希爾|1010|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|喪假|就有事
12|財務部|小辣椒·波茲|1011|2020/7/8|2020-7-8 09:00:00.000|2020-7-8 18:00:00.000|婚假|就有事
